subscription_id,user_id,plan_id,start_date,end_date,status,mrr,cancellation_reason
75,50,1,2025-12-24,2026-04-25,canceled,0,Switched to competitor
76,51,1,2026-05-27,2026-06-30,upgraded,0,
77,52,1,2024-08-13,2024-10-27,upgraded,0,
78,52,7,2024-10-27,2024-11-27,downgraded,165.83,
79,52,3,2024-11-27,2026-06-08,canceled,12.5,Budget cuts
80,53,4,2024-05-10,,active,49,
81,54,1,2024-02-21,2024-06-12,canceled,0,No longer needed
82,55,3,2024-01-20,2024-03-03,upgraded,12.5,
83,55,6,2024-03-03,2024-10-11,canceled,199,No longer needed
84,56,1,2024-07-23,2024-11-16,upgraded,0,
85,56,5,2024-11-16,2025-03-11,canceled,40.83,No longer needed
86,57,1,2024-06-20,2024-10-04,upgraded,0,
87,57,2,2024-10-04,2024-12-02,upgraded,15,
88,57,3,2024-12-02,2025-03-31,upgraded,12.5,
89,57,2,2025-03-31,,active,15,
90,58,1,2025-11-24,,active,0,
91,59,4,2026-04-04,,active,49,
92,60,1,2026-05-19,2026-06-07,upgraded,0,
93,60,4,2026-06-07,2026-06-30,upgraded,49,
94,61,1,2025-10-28,2026-04-25,canceled,0,Too expensive
95,62,3,2024-10-12,2025-02-07,upgraded,12.5,
96,62,1,2025-02-07,2025-04-04,upgraded,0,
97,62,7,2025-04-04,2026-01-30,canceled,165.83,No longer needed
98,63,1,2025-05-14,,active,0,
99,64,2,2024-09-04,2024-10-11,upgraded,15,
100,64,3,2024-10-11,2025-04-21,canceled,12.5,Switched to competitor
101,65,2,2024-10-28,2025-08-17,canceled,15,Too expensive
102,66,3,2024-12-26,2026-03-29,canceled,12.5,Switched to competitor
103,67,3,2024-08-09,,active,12.5,
104,68,1,2024-08-20,2024-09-05,upgraded,0,
105,68,2,2024-09-05,,active,15,
106,69,3,2024-04-15,2026-06-23,canceled,12.5,Missing features
107,70,1,2026-04-21,2026-06-10,upgraded,0,
108,70,6,2026-06-10,,active,199,
109,71,1,2024-05-01,2024-06-19,upgraded,0,
110,71,2,2024-06-19,2024-07-12,canceled,15,Poor support experience
111,72,1,2026-05-30,,active,0,
112,73,4,2025-11-07,,active,49,
113,74,1,2024-08-25,2025-08-08,canceled,0,Poor support experience
114,75,2,2024-04-27,2024-05-16,upgraded,15,
115,75,5,2024-05-16,2024-06-28,upgraded,40.83,
116,75,3,2024-06-28,2026-06-06,canceled,12.5,No longer needed
117,76,1,2025-03-25,,active,0,
118,77,1,2026-06-29,,active,0,
119,78,1,2025-08-13,2025-09-30,upgraded,0,
120,78,3,2025-09-30,2025-12-12,upgraded,12.5,
121,78,1,2025-12-12,,active,0,
122,79,1,2025-04-26,2025-08-02,upgraded,0,
123,79,7,2025-08-02,,active,165.83,
124,80,1,2024-02-07,2024-04-21,upgraded,0,
125,80,2,2024-04-21,2024-06-24,upgraded,15,
126,80,6,2024-06-24,,active,199,
127,81,4,2025-02-27,2025-06-22,upgraded,49,
128,81,1,2025-06-22,2025-09-29,upgraded,0,
129,81,3,2025-09-29,,active,12.5,
130,82,1,2024-10-21,2025-02-08,upgraded,0,
131,82,5,2025-02-08,2025-02-27,upgraded,40.83,
132,82,7,2025-02-27,2025-11-17,canceled,165.83,Budget cuts
133,83,1,2025-07-19,2025-08-04,upgraded,0,
134,83,6,2025-08-04,2025-09-27,downgraded,199,
135,83,3,2025-09-27,,active,12.5,
136,84,2,2025-12-23,2026-02-25,upgraded,15,
137,84,1,2026-02-25,2026-04-11,upgraded,0,
138,84,4,2026-04-11,,active,49,
139,85,1,2024-10-09,2025-07-09,canceled,0,No longer needed
140,86,1,2025-11-06,,active,0,
141,87,1,2025-12-15,,active,0,
142,88,2,2024-02-07,,active,15,
143,89,2,2026-06-10,2026-06-30,upgraded,15,
144,90,1,2026-05-22,,active,0,
145,91,1,2024-08-28,2024-11-11,upgraded,0,
146,91,7,2024-11-11,2025-02-16,downgraded,165.83,
147,91,2,2025-02-16,2025-03-16,canceled,15,Poor support experience
148,92,1,2024-01-30,2024-04-09,upgraded,0,
149,92,3,2024-04-09,,active,12.5,
150,93,1,2024-06-28,2024-10-26,upgraded,0,
151,93,2,2024-10-26,,active,15,
152,94,1,2024-09-18,,active,0,
153,95,3,2025-12-07,2026-03-20,upgraded,12.5,
154,95,5,2026-03-20,,active,40.83,
155,96,3,2025-12-17,2026-01-04,upgraded,12.5,
156,96,6,2026-01-04,2026-02-28,downgraded,199,
157,96,5,2026-02-28,2026-06-04,upgraded,40.83,
158,96,2,2026-06-04,,active,15,
159,97,2,2026-05-02,2026-05-29,canceled,15,Budget cuts
160,98,1,2025-10-05,,active,0,
161,99,1,2026-02-04,2026-02-28,upgraded,0,
162,99,5,2026-02-28,,active,40.83,
163,100,2,2026-04-24,,active,15,
164,101,1,2026-05-16,2026-06-29,canceled,0,Missing features
165,102,2,2025-01-25,2025-02-10,upgraded,15,
166,102,4,2025-02-10,2025-06-08,upgraded,49,
167,102,5,2025-06-08,2025-07-15,upgraded,40.83,
168,102,6,2025-07-15,,active,199,
169,103,2,2025-10-25,2026-01-20,upgraded,15,
170,103,6,2026-01-20,,active,199,
171,104,1,2024-04-09,2024-06-16,upgraded,0,
172,104,6,2024-06-16,,active,199,
173,105,3,2026-06-25,2026-06-30,upgraded,12.5,
174,106,1,2024-08-29,,active,0,
175,107,1,2024-05-05,,active,0,
176,108,2,2024-05-08,,active,15,
177,109,1,2024-01-03,,active,0,
178,110,1,2026-03-19,2026-05-03,upgraded,0,
179,110,7,2026-05-03,2026-05-29,downgraded,165.83,
180,110,5,2026-05-29,2026-06-30,upgraded,40.83,
181,111,4,2025-04-04,,active,49,
182,112,2,2024-03-03,2026-05-25,canceled,15,Poor support experience
183,113,2,2024-03-08,2025-04-21,canceled,15,Poor support experience
184,114,1,2025-09-11,2026-01-08,upgraded,0,
185,114,5,2026-01-08,2026-05-02,canceled,40.83,Switched to competitor
186,115,4,2025-02-27,,active,49,
187,116,1,2024-03-09,2024-05-28,upgraded,0,
188,116,6,2024-05-28,2025-02-23,canceled,199,Too expensive
189,117,2,2025-07-29,2025-11-09,upgraded,15,
190,117,6,2025-11-09,,active,199,
191,118,1,2024-12-26,,active,0,
192,119,1,2025-08-10,2025-10-13,upgraded,0,
193,119,5,2025-10-13,2026-01-18,upgraded,40.83,
194,119,2,2026-01-18,2026-03-08,canceled,15,Switched to competitor
195,120,4,2024-01-30,,active,49,
196,121,3,2024-05-25,2024-06-22,upgraded,12.5,
197,121,4,2024-06-22,2024-08-08,upgraded,49,
198,121,7,2024-08-08,,active,165.83,
199,122,2,2026-03-06,,active,15,
200,123,1,2025-05-12,2026-01-16,canceled,0,Too expensive
201,124,1,2025-06-23,,active,0,
202,125,1,2024-10-23,2024-11-12,upgraded,0,
203,125,4,2024-11-12,2025-01-02,canceled,49,Poor support experience
204,126,2,2024-03-14,,active,15,
205,127,4,2025-12-27,2026-03-10,upgraded,49,
206,127,1,2026-03-10,2026-04-13,upgraded,0,
207,127,5,2026-04-13,,active,40.83,
208,128,1,2025-03-23,,active,0,
209,129,1,2024-03-19,,active,0,
210,130,3,2024-09-19,,active,12.5,
211,131,1,2025-04-04,,active,0,
212,132,4,2025-04-25,2025-06-02,upgraded,49,
213,132,5,2025-06-02,2025-08-15,upgraded,40.83,
214,132,4,2025-08-15,2025-09-10,upgraded,49,
215,132,1,2025-09-10,,active,0,
216,133,1,2025-01-12,2025-02-10,upgraded,0,
217,133,6,2025-02-10,,active,199,
218,134,1,2026-03-21,,active,0,
219,135,1,2025-04-06,,active,0,
220,136,1,2025-09-16,2025-10-31,upgraded,0,
221,136,5,2025-10-31,2026-01-12,upgraded,40.83,
222,136,1,2026-01-12,,active,0,
223,137,1,2024-12-03,2025-01-11,upgraded,0,
224,137,6,2025-01-11,2025-02-28,downgraded,199,
225,137,2,2025-02-28,2026-05-05,canceled,15,Poor support experience
226,138,1,2024-03-24,2024-06-29,upgraded,0,
227,138,3,2024-06-29,,active,12.5,
228,139,2,2025-07-26,2025-08-10,upgraded,15,
229,139,1,2025-08-10,2025-08-26,upgraded,0,
230,139,6,2025-08-26,2025-11-27,canceled,199,Switched to competitor
231,140,1,2025-01-05,2025-02-16,upgraded,0,
232,140,4,2025-02-16,2025-03-05,upgraded,49,
233,140,5,2025-03-05,,active,40.83,
234,141,1,2024-10-29,,active,0,
235,142,1,2025-09-03,2025-10-22,upgraded,0,
236,142,5,2025-10-22,,active,40.83,
237,143,3,2025-11-23,2026-01-08,upgraded,12.5,
238,143,5,2026-01-08,,active,40.83,
239,144,1,2025-01-11,,active,0,
240,145,1,2026-03-31,,active,0,
241,146,4,2024-03-26,,active,49,
242,147,1,2024-01-28,2024-03-15,upgraded,0,
243,147,5,2024-03-15,2025-10-01,canceled,40.83,No longer needed
244,148,3,2026-03-21,2026-05-10,upgraded,12.5,
245,148,6,2026-05-10,,active,199,
246,149,4,2024-03-22,2024-05-10,upgraded,49,
247,149,7,2024-05-10,2024-07-29,downgraded,165.83,
248,149,4,2024-07-29,2026-03-24,canceled,49,No longer needed
249,150,4,2024-11-04,,active,49,
250,151,4,2025-10-09,2025-12-18,canceled,49,Missing features
251,152,1,2025-06-20,,active,0,
252,153,1,2025-10-12,2026-01-02,upgraded,0,
253,153,4,2026-01-02,,active,49,
254,154,1,2024-05-16,2024-08-11,upgraded,0,
255,154,6,2024-08-11,,active,199,
256,155,4,2024-03-05,2024-04-11,upgraded,49,
257,155,1,2024-04-11,2025-01-18,canceled,0,Missing features
258,156,2,2025-02-11,2025-09-29,canceled,15,Poor support experience
259,157,2,2024-05-07,,active,15,
260,158,1,2026-03-27,,active,0,
261,159,2,2024-03-22,,active,15,
262,160,1,2025-09-21,2025-12-21,upgraded,0,
263,160,5,2025-12-21,2026-01-24,upgraded,40.83,
264,160,4,2026-01-24,2026-05-13,upgraded,49,
265,160,5,2026-05-13,,active,40.83,
266,161,1,2024-02-01,,active,0,
267,162,2,2024-02-03,2024-04-09,upgraded,15,
268,162,5,2024-04-09,2024-06-22,upgraded,40.83,
269,162,6,2024-06-22,,active,199,
270,163,1,2024-11-17,2025-01-26,upgraded,0,
271,163,2,2025-01-26,2025-02-25,upgraded,15,
272,163,3,2025-02-25,,active,12.5,
273,164,1,2025-12-21,2026-04-18,upgraded,0,
274,164,3,2026-04-18,2026-06-30,upgraded,12.5,
275,165,3,2024-03-30,2025-10-11,canceled,12.5,Budget cuts
276,166,1,2026-03-23,2026-04-17,upgraded,0,
277,166,2,2026-04-17,2026-05-07,canceled,15,Too expensive
278,167,1,2025-01-12,2026-05-24,canceled,0,No longer needed
279,168,1,2026-04-23,2026-06-30,upgraded,0,
280,169,4,2024-07-05,2024-08-28,upgraded,49,
281,169,6,2024-08-28,2024-12-05,downgraded,199,
282,169,2,2024-12-05,2024-12-24,upgraded,15,
283,169,7,2024-12-24,,active,165.83,
284,170,2,2024-11-26,2025-07-13,canceled,15,Poor support experience
285,171,3,2024-05-08,2026-03-09,canceled,12.5,Poor support experience
286,172,1,2024-12-11,,active,0,
287,173,1,2025-03-02,,active,0,
288,174,1,2025-04-09,2025-07-18,upgraded,0,
289,174,7,2025-07-18,2025-08-12,canceled,165.83,Switched to competitor
290,175,2,2025-02-12,2025-03-18,upgraded,15,
291,175,1,2025-03-18,2025-09-26,canceled,0,Missing features
292,176,1,2024-02-21,2024-04-30,upgraded,0,
293,176,4,2024-04-30,2024-08-25,upgraded,49,
294,176,1,2024-08-25,2024-10-12,upgraded,0,
295,176,5,2024-10-12,,active,40.83,
296,177,1,2024-07-13,2024-11-10,upgraded,0,
297,177,6,2024-11-10,2025-03-09,downgraded,199,
298,177,1,2025-03-09,2025-05-10,upgraded,0,
299,177,4,2025-05-10,2025-06-01,canceled,49,Too expensive
300,178,1,2024-09-03,,active,0,
301,179,1,2026-05-17,2026-06-30,upgraded,0,
302,180,1,2024-07-18,,active,0,
303,181,4,2024-05-11,,active,49,
304,182,4,2025-02-15,2025-06-08,upgraded,49,
305,182,2,2025-06-08,,active,15,
306,183,1,2024-12-01,2025-01-24,upgraded,0,
307,183,4,2025-01-24,2025-05-07,canceled,49,Switched to competitor
308,184,1,2025-05-16,2026-05-09,canceled,0,Poor support experience
309,185,1,2025-09-03,2026-06-04,canceled,0,No longer needed
310,186,1,2025-10-06,2025-10-30,upgraded,0,
311,186,4,2025-10-30,,active,49,
312,187,1,2024-11-17,,active,0,
313,188,3,2024-07-31,2025-07-27,canceled,12.5,Poor support experience
314,189,2,2025-11-23,2026-03-10,upgraded,15,
315,189,1,2026-03-10,2026-05-30,canceled,0,Missing features
316,190,1,2024-08-18,2025-03-14,canceled,0,Switched to competitor
317,191,4,2024-10-21,,active,49,
318,192,1,2026-01-01,2026-04-25,upgraded,0,
319,192,3,2026-04-25,,active,12.5,
320,193,1,2024-05-20,2024-07-27,upgraded,0,
321,193,7,2024-07-27,2024-11-18,downgraded,165.83,
322,193,2,2024-11-18,2024-12-11,upgraded,15,
323,193,7,2024-12-11,,active,165.83,
324,194,2,2024-12-04,,active,15,
325,195,3,2025-10-28,2026-02-20,upgraded,12.5,
326,195,4,2026-02-20,2026-06-08,canceled,49,Poor support experience
327,196,4,2024-06-28,2024-07-24,upgraded,49,
328,196,3,2024-07-24,2024-09-07,upgraded,12.5,
329,196,7,2024-09-07,2024-10-13,downgraded,165.83,
330,196,6,2024-10-13,,active,199,
331,197,1,2024-01-10,2024-10-17,canceled,0,Too expensive
332,198,2,2026-05-21,,active,15,
333,199,1,2026-01-24,,active,0,
334,200,1,2024-12-01,2024-12-28,upgraded,0,
335,200,3,2024-12-28,,active,12.5,
336,201,1,2025-04-02,2025-07-05,upgraded,0,
337,201,4,2025-07-05,,active,49,
338,202,2,2024-11-10,,active,15,
339,203,2,2025-09-21,2025-10-06,upgraded,15,
340,203,1,2025-10-06,2025-10-22,upgraded,0,
341,203,5,2025-10-22,,active,40.83,
342,204,3,2026-04-01,2026-05-26,upgraded,12.5,
343,204,7,2026-05-26,2026-06-23,canceled,165.83,Too expensive
344,205,4,2024-03-20,,active,49,
345,206,2,2025-03-28,2026-01-18,canceled,15,Too expensive
346,207,2,2025-03-01,2025-05-05,upgraded,15,
347,207,6,2025-05-05,,active,199,
348,208,2,2025-08-15,,active,15,
349,209,4,2024-10-20,,active,49,
350,210,4,2024-03-23,2024-07-04,upgraded,49,
351,210,6,2024-07-04,,active,199,
352,211,1,2026-01-15,,active,0,
353,212,1,2024-09-10,2024-10-06,upgraded,0,
354,212,7,2024-10-06,,active,165.83,
355,213,2,2024-07-30,2024-09-09,upgraded,15,
356,213,7,2024-09-09,,active,165.83,
357,214,1,2025-07-06,2025-10-31,canceled,0,Poor support experience
358,215,4,2026-03-02,,active,49,
359,216,1,2025-07-24,2026-03-22,canceled,0,No longer needed
360,217,1,2024-11-22,2025-02-22,upgraded,0,
361,217,5,2025-02-22,,active,40.83,
362,218,1,2024-02-29,,active,0,
363,219,2,2024-04-04,2024-07-06,upgraded,15,
364,219,1,2024-07-06,,active,0,
365,220,3,2024-08-10,2024-09-30,upgraded,12.5,
366,220,7,2024-09-30,2025-05-12,canceled,165.83,Budget cuts
367,221,4,2025-12-13,,active,49,
368,222,1,2024-09-24,2025-09-25,canceled,0,Poor support experience
369,223,1,2024-11-16,,active,0,
370,224,1,2024-06-05,,active,0,
371,225,1,2025-04-16,,active,0,
372,226,2,2024-02-04,2024-03-08,upgraded,15,
373,226,1,2024-03-08,2024-04-20,upgraded,0,
374,226,5,2024-04-20,2024-07-04,upgraded,40.83,
375,226,6,2024-07-04,,active,199,
376,227,4,2024-08-11,2026-01-04,canceled,49,Budget cuts
377,228,2,2025-07-18,2025-10-09,upgraded,15,
378,228,6,2025-10-09,,active,199,
379,229,1,2024-04-08,2024-05-18,upgraded,0,
380,229,2,2024-05-18,,active,15,
381,230,1,2025-04-15,2025-08-13,upgraded,0,
382,230,5,2025-08-13,,active,40.83,
383,231,1,2025-01-21,,active,0,
384,232,1,2024-02-13,,active,0,
385,233,4,2025-11-04,,active,49,
386,234,3,2024-06-15,2025-02-27,canceled,12.5,Too expensive
387,235,1,2026-02-02,,active,0,
388,236,1,2024-01-31,,active,0,
389,237,2,2026-03-01,2026-05-09,canceled,15,Poor support experience
390,238,1,2025-01-04,,active,0,
391,239,1,2025-07-24,,active,0,
392,240,1,2024-10-25,2026-05-11,canceled,0,Budget cuts
393,241,1,2024-05-22,2024-07-10,upgraded,0,
394,241,7,2024-07-10,,active,165.83,
395,242,2,2024-09-14,2024-11-17,canceled,15,Poor support experience
396,243,1,2026-05-11,,active,0,
397,244,1,2025-09-09,,active,0,
398,245,1,2025-01-20,2025-05-22,canceled,0,No longer needed
399,246,3,2026-01-14,2026-04-28,upgraded,12.5,
400,246,5,2026-04-28,2026-05-25,canceled,40.83,Poor support experience
401,247,2,2025-10-10,,active,15,
402,248,1,2025-07-01,2025-09-09,upgraded,0,
403,248,2,2025-09-09,,active,15,
404,249,1,2026-02-26,2026-05-15,upgraded,0,
405,249,7,2026-05-15,2026-06-30,downgraded,165.83,
406,250,1,2024-04-18,2024-07-22,upgraded,0,
407,250,5,2024-07-22,2024-08-23,upgraded,40.83,
408,250,1,2024-08-23,2026-04-05,canceled,0,Poor support experience
409,251,1,2025-04-19,,active,0,
410,252,1,2026-05-01,2026-06-25,canceled,0,Too expensive
411,253,2,2026-01-09,2026-03-09,upgraded,15,
412,253,5,2026-03-09,,active,40.83,
413,254,1,2026-01-28,2026-03-20,upgraded,0,
414,254,6,2026-03-20,2026-05-24,downgraded,199,
415,254,7,2026-05-24,2026-06-18,canceled,165.83,Poor support experience
416,255,3,2025-10-17,2026-04-12,canceled,12.5,No longer needed
417,256,1,2024-10-12,2024-12-14,upgraded,0,
418,256,2,2024-12-14,,active,15,
419,257,1,2025-11-17,2025-12-19,upgraded,0,
420,257,3,2025-12-19,2026-02-26,upgraded,12.5,
421,257,1,2026-02-26,2026-05-14,canceled,0,Budget cuts
422,258,1,2025-09-24,,active,0,
423,259,1,2024-11-08,,active,0,
424,260,1,2025-10-12,2026-02-04,canceled,0,Missing features
425,261,2,2024-02-24,2026-03-28,canceled,15,Budget cuts
426,262,4,2025-12-28,,active,49,
427,263,1,2024-10-22,,active,0,
428,264,2,2026-04-23,2026-06-01,canceled,15,Too expensive
429,265,1,2026-06-14,2026-06-30,upgraded,0,
430,266,1,2026-04-10,,active,0,
431,267,4,2026-04-04,2026-06-04,upgraded,49,
432,267,2,2026-06-04,,active,15,
433,268,1,2026-05-28,2026-06-30,upgraded,0,
434,269,2,2024-09-12,,active,15,
435,270,2,2025-01-19,2025-05-11,upgraded,15,
436,270,5,2025-05-11,,active,40.83,
437,271,2,2025-08-18,,active,15,
438,272,4,2024-08-11,2024-10-16,upgraded,49,
439,272,5,2024-10-16,2024-12-24,upgraded,40.83,
440,272,2,2024-12-24,,active,15,
441,273,2,2025-11-29,,active,15,
442,274,2,2025-03-14,,active,15,
443,275,1,2024-03-25,2026-03-18,canceled,0,No longer needed
444,276,1,2024-01-02,2026-02-23,canceled,0,Budget cuts
445,277,1,2025-12-11,,active,0,
446,278,1,2025-01-26,2026-01-09,canceled,0,Too expensive
447,279,2,2024-12-25,,active,15,
448,280,1,2026-02-09,2026-06-13,canceled,0,Missing features
449,281,2,2025-07-20,2025-10-04,upgraded,15,
450,281,3,2025-10-04,,active,12.5,
451,282,1,2025-06-05,2025-08-10,upgraded,0,
452,282,3,2025-08-10,2025-08-30,upgraded,12.5,
453,282,2,2025-08-30,2025-11-24,upgraded,15,
454,282,7,2025-11-24,,active,165.83,
455,283,3,2025-05-26,2025-09-20,upgraded,12.5,
456,283,7,2025-09-20,2025-12-02,downgraded,165.83,
457,283,3,2025-12-02,,active,12.5,
458,284,2,2025-01-09,,active,15,
459,285,4,2024-02-10,2024-05-25,upgraded,49,
460,285,1,2024-05-25,,active,0,
461,286,4,2025-09-22,2025-10-12,upgraded,49,
462,286,1,2025-10-12,,active,0,
463,287,1,2025-10-11,,active,0,
464,288,1,2025-03-20,2026-05-03,canceled,0,Missing features
465,289,1,2024-06-16,2025-05-06,canceled,0,No longer needed
466,290,2,2026-02-28,2026-05-21,upgraded,15,
467,290,1,2026-05-21,,active,0,
468,291,3,2025-04-11,,active,12.5,
469,292,4,2024-08-21,2025-08-26,canceled,49,Missing features
470,293,4,2026-05-28,,active,49,
471,294,1,2025-01-16,2025-04-18,upgraded,0,
472,294,5,2025-04-18,2025-08-29,canceled,40.83,Too expensive
473,295,1,2026-03-03,2026-05-07,upgraded,0,
474,295,6,2026-05-07,,active,199,
475,296,1,2025-04-20,,active,0,
476,297,1,2024-01-25,2024-05-18,upgraded,0,
477,297,2,2024-05-18,2025-09-10,canceled,15,No longer needed
478,298,1,2024-07-29,2026-01-18,canceled,0,Budget cuts
479,299,4,2026-05-15,2026-06-30,upgraded,49,
480,300,4,2025-08-29,2025-09-16,upgraded,49,
481,300,7,2025-09-16,,active,165.83,
482,301,1,2025-04-08,2026-06-10,canceled,0,Too expensive
483,302,1,2024-11-17,,active,0,
484,303,3,2026-04-26,2026-05-18,canceled,12.5,Budget cuts
485,304,1,2024-02-20,2024-06-07,upgraded,0,
486,304,2,2024-06-07,,active,15,
487,305,1,2024-04-06,2024-06-15,upgraded,0,
488,305,4,2024-06-15,,active,49,
489,306,1,2025-12-03,,active,0,
490,307,1,2024-04-04,2024-06-13,upgraded,0,
491,307,6,2024-06-13,2024-06-29,downgraded,199,
492,307,7,2024-06-29,2025-09-06,canceled,165.83,Missing features
493,308,3,2024-01-31,2024-03-31,upgraded,12.5,
494,308,5,2024-03-31,,active,40.83,
495,309,4,2025-09-23,2026-01-17,upgraded,49,
496,309,2,2026-01-17,2026-03-25,upgraded,15,
497,309,6,2026-03-25,2026-06-10,canceled,199,Switched to competitor
498,310,1,2025-10-20,,active,0,
499,311,1,2025-07-11,2025-10-09,upgraded,0,
500,311,6,2025-10-09,2026-01-05,downgraded,199,
501,311,5,2026-01-05,,active,40.83,
502,312,3,2026-04-10,2026-06-30,upgraded,12.5,
503,313,3,2025-11-03,,active,12.5,
504,314,1,2026-05-09,,active,0,
505,315,4,2025-07-31,2025-08-16,upgraded,49,
506,315,7,2025-08-16,2025-11-15,downgraded,165.83,
507,315,5,2025-11-15,,active,40.83,
508,316,1,2024-02-27,,active,0,
509,317,1,2024-03-01,,active,0,
510,318,4,2025-08-23,,active,49,
511,319,1,2025-12-25,,active,0,
512,320,2,2024-05-10,2024-09-05,upgraded,15,
513,320,5,2024-09-05,2024-12-13,upgraded,40.83,
514,320,7,2024-12-13,2025-10-24,canceled,165.83,Poor support experience
515,321,4,2024-11-21,2025-02-23,canceled,49,Missing features
516,322,2,2024-06-20,,active,15,
517,323,4,2025-12-10,,active,49,
518,324,3,2026-06-21,2026-06-30,upgraded,12.5,
519,325,4,2026-03-29,2026-05-21,upgraded,49,
520,325,2,2026-05-21,2026-06-30,upgraded,15,
521,326,1,2024-04-05,,active,0,
522,327,1,2024-02-24,,active,0,
523,328,3,2024-08-31,,active,12.5,
524,329,1,2025-05-06,,active,0,
525,330,2,2025-05-15,,active,15,
526,331,4,2024-09-26,,active,49,
527,332,1,2025-02-27,2025-06-15,upgraded,0,
528,332,3,2025-06-15,,active,12.5,
529,333,2,2026-06-21,,active,15,
530,334,2,2024-05-30,2024-08-21,upgraded,15,
531,334,7,2024-08-21,,active,165.83,
532,335,1,2025-11-30,2026-01-25,upgraded,0,
533,335,5,2026-01-25,,active,40.83,
534,336,2,2025-02-10,2025-06-06,upgraded,15,
535,336,4,2025-06-06,,active,49,
536,337,1,2025-02-28,2025-06-02,upgraded,0,
537,337,7,2025-06-02,2025-08-12,downgraded,165.83,
538,337,1,2025-08-12,2025-10-16,upgraded,0,
539,337,6,2025-10-16,2026-03-24,canceled,199,Too expensive
540,338,2,2026-06-07,,active,15,
541,339,1,2025-02-16,,active,0,
542,340,1,2025-01-16,,active,0,
